method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
polar_plain_joint,30.0,8,True,True,0.166726218549722,-0.04268282098374139,-0.032502217949285414,0.16776463903580593,482.72586956342246,17,2.0797827061942957,0.0959223761579308
polar_cov_joint,30.0,8,True,True,0.012491774502992827,-0.012700172959107109,-0.0016311344458030254,0.0023546785290795005,221.2959970731856,16,2.0840008527097478,0.0957348504330348
polar_staged,30.0,8,True,True,0.012491747077168332,-0.01270014626163289,-0.0016311224808409734,0.0023546742226529895,221.29599707319042,21,2.084000855510469,0.09573485033989101
uv_joint,30.0,9,True,True,0.0175253811134581,-0.016692484468754466,-0.006503600346470061,0.003199115186233426,243.30563675202637,15,2.083435934122772,0.0957642684135617
polar_plain_joint,30.0,9,True,True,0.16672614564188995,-0.04268238031962844,-0.03250228114212815,0.16776456286217015,482.72586956137087,20,2.079782744813277,0.09592237632968671
polar_cov_joint,30.0,9,True,True,0.012491770885121553,-0.012700169350085593,-0.0016311333197451335,0.002354677977555416,221.29599707318636,16,2.0840008530882037,0.09573485043823235
polar_staged,30.0,9,True,True,0.012491747193874097,-0.01270014630692558,-0.001631122514072999,0.002354674194651386,221.29599707319042,25,2.0840008554660767,0.09573485035488784
uv_joint,60.0,0,True,True,0.017525381155050885,-0.016692484421652044,-0.006503600518161174,0.0031991153076351988,243.3056367520277,15,2.0834359341497732,0.09576426842337088
polar_plain_joint,60.0,0,True,True,0.1667261495592221,-0.042682549440242135,-0.03250228369165442,0.16776456123127395,482.72586956144926,18,2.0797827288360273,0.09592237641105127
polar_cov_joint,60.0,0,True,True,0.012491751161869414,-0.012700149330612122,-0.0016311309853038723,0.002354674781307878,221.29599707318914,23,2.0840008548974396,0.0957348504222671
polar_staged,60.0,0,True,True,0.01249174701881545,-0.012700146183612291,-0.0016311224450724555,0.002354674149449343,221.29599707319025,30,2.084000855560289,0.0957348503577652
uv_joint,60.0,1,True,True,0.01752538123823646,-0.016692484674318487,-0.006503600298159026,0.003199114909626947,243.30563675202689,15,2.0834359343478854,0.09576426840973355
polar_plain_joint,60.0,1,True,True,0.16672649979720014,-0.04268227836515907,-0.03250191712177037,0.1677650140491594,482.7258695639042,18,2.079782772758744,0.09592237422502124
polar_cov_joint,60.0,1,True,True,0.012491771585354786,-0.012700170113410765,-0.0016311333808022418,0.002354678093015912,221.295997073186,14,2.0840008530786966,0.09573485043264068
polar_staged,60.0,1,True,True,0.012491747077168332,-0.01270014619581131,-0.0016311225317934594,0.002354674220894143,221.29599707319124,31,2.084000855381061,0.09573485037517102
