method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,translation_error_m,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_polar_staged,30.0,3,False,True,42.80352586628761,0.2800000000000001,0.7113221999155086,2.045316675265464,2.043445075532133,0.2800171681034027,1.960238159208607,0.6937637291784178,1.607417657133253,0.128096957791481,0.34061986560111696,0.12056379831975637,19282.910057666413,117
ba_uv_joint,30.0,4,False,False,38.62628872317659,0.28,0.5143512208552358,nan,38.59963107036035,0.27992340506305635,23.98333829569239,29.997998922079343,2.3004719256928143,0.5134091478511538,1.4850546105137088,0.5012668003001078,99147.34312249397,120
ba_polar_plain_joint,30.0,4,False,False,38.62628872317659,0.28,0.5143512208552358,nan,38.62308876582901,0.27999772850457116,23.998421427584297,29.99869561974652,2.2733875448817034,0.6951255905533825,1.8170058662892716,0.6963385530192262,50404.71662339866,120
ba_polar_cov_joint,30.0,4,False,False,38.62628872317659,0.28,0.5143512208552358,nan,37.67024313239231,0.28000317210915593,23.998639075789782,29.99794099676257,2.7705283420928386,0.7013262992062901,1.8716322988187815,0.6761847712252897,102209.76176877931,120
ba_polar_staged,30.0,4,False,True,38.62628872317659,0.28,0.5143512208552358,2.2634581946269323,2.2622292470927463,0.2799505207168481,2.204694329678744,0.8344101395032414,1.4631715432269154,0.11151655453591645,0.2585907655120701,0.10435289289954962,17922.45898105094,116
ba_uv_joint,30.0,5,False,False,38.41825894904406,0.27999999999999997,0.6209376828762483,nan,36.541828129702054,0.30414501223431106,23.993601642506075,29.98639163583506,1.641502822055449,0.529415350033708,0.5860353440758654,0.5192019580211702,67108.32182184159,120
ba_polar_plain_joint,30.0,5,False,False,38.41825894904406,0.27999999999999997,0.6209376828762483,nan,38.41713969022199,0.28002400415286505,24.00071676116441,29.99916334673945,3.0810697183529636,0.7805026244883043,2.8078834560643617,0.7808274001618907,40943.50636740374,120
ba_polar_cov_joint,30.0,5,False,False,38.41825894904406,0.27999999999999997,0.6209376828762483,nan,38.4177753729409,0.2800060323458903,24.005977204173124,29.999889635241892,2.324820180651759,0.7361460813281742,1.9056137028520437,0.7356014422939997,78115.33481705407,120
ba_polar_staged,30.0,5,False,True,38.41825894904406,0.27999999999999997,0.6209376828762483,1.64096142619647,1.657636165673659,0.28004709400223354,1.57606102400409,0.8112533719309662,1.6081898509287338,0.14160219556791648,0.3556055102439019,0.1308248404510451,21229.99259149478,115
ba_uv_joint,60.0,0,False,False,65.08623593962723,0.2800000000000001,0.8061622118430829,nan,65.07796197001625,0.28003226518473096,23.998876143771565,59.99350990922983,3.521411615304289,0.8252492576868831,3.2596232308019455,0.8250729301480603,131398.78321872812,120
